Date,CSCO Closing Price
3/3/2015,29.54
3/4/2015,29.33
3/5/2015,29.3
3/6/2015,28.93
3/9/2015,29.36
3/10/2015,28.66
3/11/2015,28.26
3/12/2015,28.24
3/13/2015,27.94
3/16/2015,28.3
3/17/2015,28.15
3/18/2015,28.15
3/19/2015,28.26
3/20/2015,28.44
3/23/2015,28.41
3/24/2015,28
3/25/2015,27.46
3/26/2015,27.09
3/27/2015,27.13
3/30/2015,27.65
3/31/2015,27.53
4/1/2015,27.25
4/2/2015,27.13
4/6/2015,27.22
4/7/2015,27.39
4/8/2015,27.55
4/9/2015,27.63
4/10/2015,28.04
4/13/2015,27.98
4/14/2015,27.81
4/15/2015,28.25
4/16/2015,28.6
4/17/2015,27.92
4/20/2015,28.48
4/21/2015,28.69
4/22/2015,28.62
4/23/2015,28.68
4/24/2015,28.82
4/27/2015,28.89
4/28/2015,29.32
4/29/2015,29.05
4/30/2015,28.83
5/1/2015,29.13
5/4/2015,29.17
5/5/2015,28.89
5/6/2015,28.97
5/7/2015,28.81
5/8/2015,29.23
5/11/2015,29.21
5/12/2015,29.23
5/13/2015,29.35
5/14/2015,29.05
5/15/2015,29.55
5/18/2015,29.76
5/19/2015,29.74
5/20/2015,29.62
5/21/2015,29.43
5/22/2015,29.26
5/26/2015,28.95
5/27/2015,29.31
5/28/2015,29.35
5/29/2015,29.31
6/1/2015,29.18
6/2/2015,29.08
6/3/2015,29.09
6/4/2015,28.61
6/5/2015,28.58
6/8/2015,28.28
6/9/2015,28.24
6/10/2015,28.66
6/11/2015,28.86
6/12/2015,28.54
6/15/2015,28.48
6/16/2015,28.71
6/17/2015,28.93
6/18/2015,29.21
6/19/2015,29.03
6/22/2015,28.94
6/23/2015,28.79
6/24/2015,28.51
6/25/2015,28.4
6/26/2015,28.28
6/29/2015,27.54
6/30/2015,27.46
7/1/2015,27.35
7/2/2015,27.33
7/6/2015,27.22
7/7/2015,27.36
7/8/2015,26.99
7/9/2015,26.91
7/10/2015,27.28
7/13/2015,27.79
7/14/2015,28.03
7/15/2015,28.11
7/16/2015,28.32
7/17/2015,28.18
7/20/2015,28.03
